Name,Description,Average Score,Number of Reviews
Swashbucklers of the 7 Skies,"Enter the world of Swashbucklers of the 7 Skies (S7S), the latest game from Chad Underkoffler featuring the PDQ system! In S7S you'll find a richly detailed setting of sky-ships, piracy, intrigue, mysticism, musketeers, and more, whether you're sailing through the haunted Ghost Sky, battling pirates from the inconstant isle of Ilwuz, intriguing in the Spider Empress' court of Barathi, or chasing thieves across the rooftops of Agua Azul.",7.7,30
Ninth World Guidebook,"Publisher Blurb The Ninth World Guidebook takes your Numenera campaign into uncharted territory, literally expanding the setting beyond the borders of the corebook’s maps. This 256-page tome—more than half again the size of previous Numenera hardcover supplements— explores lands hinted at in previous books, opens new territories, and adds detail to those already discussed. From the frozen lands beyond the Southern Wall, to the volcanic desert of Vralk and the weird, faroff realm of Corao, The Ninth World Guidebook explores new lands and includes adventure hooks, new creatures, new character options, and the incredible level of detail, imagination, and weirdness that is the hallmark of the Ninth World!",8.3,15
Dungeons & Dragons Basic Rulebook (First Edition),"Page two preface: This book is based upon the original work published in 1974 and three supplementary booklets published in the two year period after the initial release of DUNGEONS & DRAGONS. It is aimed solely at introducing the reader to the concepts of fantasy role playing and the basic play of this game. To this end it limits itself to basics. The rules contained herein allow only for the first three levels of player progression, and instructions for the game referee, the ""Dungeon Master,"" are kept to the minimum necessary to allow him to conduct basic games. This is absolutely necessary because the game is completely open-ended, is subject to modification, expansion, and interpretation according to the desires of the group participating, and is in general not bounded by the conventional limitations of other types of games. This work is far more detailed and more easily understood than were the original booklets nonetheless, for with it, and the other basic components of the game, any intelligent and imaginative person can speedily understand and play DUNGEONS & DRAGONS as it was meant to be played. Players who desire to go beyond the basic game are directed to the ADVANCED DUNGEON & DRAGON books.",7.3662,71
Moria: The Dwarven City,"Moria: The Dwarven City is a source book for ICEs Middle Earth Role Playing Game (MERP). This source book deals with the dwarven city of Khazad-Dum. It includes structure, architectural notes, history and plenty of stats. Also included are maps of all 7 deeps, including levels and sub-levels. As well as a massive amount of information and diagrams on traps and machines adventurers might find in the pits of Moria. There are details, history and stats provided for Durin's line, the Dwarves of Khazad-Dum, and the fell creatures that would eventually inhabit it, including the Balrog!",7.34359,39
Arms Law (RMSS),"From the back of the book: Feel the thrill of melee, brace against a monster's charge, master the martial arts, let your arrows fly -- do battle with the best combat system around! This system is one of the four cornerstones of the Rolemaster Standard System. However it is fully compatible with the earlier editions of Rolemaster. In Arms Law, you get: A fantasy/medieval melee and missile combat system including tables for 29 different weapon types (including attacks and fumbles). Thirteen attack tables that handle special types of attacks, including animal-type attacks, falling damage, brawling, and martial arts. A dozen different critical strike tables that detail severe damage delivered from critical hits -- including Slashing Critical Strikes, Puncturing Critical Strikes, two types of Martial Arts Critical Strikes, Unbalancing Critical Strikes, etc. Guidelines for using these tables with other FRP games.",7.58929,28
The Hidden Shrine of Tamoachan,"""This module was originally used for the Official Advanced Dungeons & Dragons tournament at Origins '79, and is the first in another new series of modules from TSR, the COMPETITION SERIES. This module contains a challenging setting as well as an original scoring system and an assortment of pre-rolled characters for adventuring. The module may thus be used for private competition among players, or as a separate, non-scored adventure! also include herein are background information, a large-scale referee's map, referee's notes, and new monsters and descriptions for an added taste of excitement. This module is meant to stand on its own, and includes areas on the map where Dungeon masters may add their own levels."" Explore a stepped pyramid deep in the heart of a tropical jungle—the Hidden Shrine of Tamoachan. The characters must penetrate this Mayan-style temple, which is full of tricks and traps. The shrine is an ancient Mayan/Aztec pyramid, and the module uses names, monsters, and characters based on that period. It also includes an illustrated booklet with fifteen pictures depicting various parts of the shrine to be shown to the players at the appropriate time. Also included are three pre-made characters for use if the scoring system is used.",7.47039,76
River of Cradles,"3rd edition Runequest campaign supplement which describes the settled lands in the valley of the Zola Fel River (the River of Cradles). This contains portions of previous works ( Cults of Prax, Borderlands, Pavis & Big Rubble) along with new information and a new scenario sequence introducing beginning PCs to the culture and landmarks of the valley. It provides extensive historical and geographical notes on the area, including The Seaport of Corflu The Grantlands and the Lunar frontier settlements The City of New Pavis The Big Rubble",7.87,25
Dungeon Master Guide (AD&D 2e Revised),"User comment: This book is a complete re-formatting of the Dungeon Master Guide for AD&D 2nd Edition, with a new layout, new art and some tweaks. From the back cover: Here is the essential manual for the AD&D game Dungeon Master. All the information you need to create and run thrilling, sword-and-sorcery adventures is clearly laid out in the DUNGEON MASTER GUIDE. Learn all there is to know about magical spells, hundreds of magical devices and treasures, battles, travel, experience awards, and more. This fresh, new format is your guidebook to the challenging world of the AD&D Dungeon Master!",7.03774,106
The Great Maze,"From the Back of the Box: California, Here We Come! In 1868, a massive earthquake dropped California into the sea, leaving behind a shattered landscape of water-filled channels and canyons. Soon after, the stunned survivors discovered a fortune in gold and the mysterious superfuel known as ghost rock in the fractured cliffs. Now everyone wants a piece of the Maze - the Union, the Rebels, the Mexicans, the French, even the Chinese. It's a free-for-all over ultimate control of the remnants of California, and the stakes are the highest, for whoever controls the Maze might just control the future of the Weird West. The Great Maze boxed set contains everything you need to know about this blasted land, its occupants, and its deadly secrets. Visit the twisted back alleys of Shan Fan, where rival triads struggle for control. Travel the channels of the Maze itself, where miners toil away, hoping for that big strike. Walk the wide streets and avenues of the City of Lost Angels, where something sinister lurks beneath the city's ordered surface. It's everyone for themselves in the Maze. Finding a fortune here is easier than holding on to it, and the milk of human kindness is running mighty thin. The Great Maze boxed set is crammed full of information and adventure. It includes a 128-page sourcebook (which gives posses and Marshals the lowdown on the Maze, the City of Lost Angels, the triads, and more), a 32-page, half-sized rulebook, explaining the ancient secrets of Kung-Fu, a 32-page, half-sized adventure book, a full-color poster-sized map of the Great Maze, and two full-color ship cards for use with your Deadlands miniatures (and suitable for use with Deadlands: The Great Rail Wars).",7.93889,18
Curse of Strahd,"Publisher's blurb: An adventure for a party of four to six adventurers levels 1 - 10. Unravel the mysteries of Ravenloft in this dread adventure for the world's greatest roleplaying game Under raging storm clouds, the vampire Count Strahd von Zarovich stands silhouetted against the ancient walls of Castle Ravenloft. Rumbling thunder pounds the castle spires. The wind’s howling increases as he turns his gaze down toward the village of Barovia. Far below, yet not beyond his keen eyesight, a party of adventurers has just entered his domain. Strahd’s face forms the barest hint of a smile as his dark plan unfolds. He knew they were coming, and he knows why they came — all according to his plan. A lightning flash rips through the darkness, but Strahd is gone. Only the howling of the wind fills the midnight air. The master of Castle Ravenloft is having guests for dinner. And you are invited. Dungeon Masters purchasing this module can use it to run the adventure with very little prep, other than reading through the adventure in advance. Some additional time should be planned to understand the Tarokka deck mechanics and how they affect the story depending on what is drawn. The random table uses the new Roll to Story mechanic so that your results will be remembered from session to session and easily referenced later. This Module Includes: the entire contents of Curse of Strahd adventure image handouts that can be shared with players collectively or individually maps containing information for the Dungeon Master (DM) only and with all locations pre-linked to story entries which may contain additional DM notes, boxed text, encounters, images and treasure parcels maps with all hidden information removed and resized for use as tactical combat maps. * The maps of the interior of Castle Ravenloft are presented in an isometric format that won't align with a typical top-down map format. tokens for many of the monsters in the module. When no token is available, a letter token is used to represent the NPC XP for encounters that can be dragged to the party sheet and awarded to the players as they complete them Searchable monster indexes by CR, type and in alphabetical order",8.31465,157
Art & Arcana: A Visual History,"Publisher's blurb: An illustrated guide to the history and evolution of the beloved role-playing game told through the paintings, sketches, illustrations, and visual ephemera behind its creation, growth, and continued popularity. From one of the most iconic game brands in the world, this official DUNGEONS & DRAGONS illustrated history provides an unprecedented look at the visual evolution of the brand, showing its continued influence on the worlds of pop culture and fantasy. Inside the book, you’ll find more than seven hundred pieces of artwork — from each edition of the core role-playing books, supplements, and adventures; as well as Forgotten Realms and Dragonlance novels; decades of Dragon and Dungeon magazines; and classic advertisements and merchandise; plus never-before-seen sketches, large-format canvases, rare photographs, one-of-a-kind drafts, and more from the now-famous designers and artists associated with DUNGEONS & DRAGONS. The superstar author team gained unparalleled access to the archives of Wizards of the Coast and the personal collections of top collectors, as well as the designers and illustrators who created the distinctive characters, concepts, and visuals that have defined fantasy art and gameplay for generations. This is the most comprehensive collection of D&D imagery ever assembled, making this the ultimate collectible for the game's millions of fans around the world.",8.97436,39
7th Sea Core Rulebook,"(from the back of the book) 7th Sea is a tabletop roleplaying game of swashbuckling and intrigue, exploration and adventure, taking place on the continent of Théah, a land of magic and mystery inspired by our own Europe. Players take the roles of heroes thrown into global conspiracies and sinister plots, exploring ancient ruins of a race long vanished and protecting the rightful kings and queens of Théah from murderous villains. Save the Queen of Avalon from treacherous blackmail! Thwart a dastardly assassination attempt on the Cardinal of Castille! Raid the villainous fleets of Vodacce Merchant Princes! Free the Prince of the Sarmatian Commonwealth from a mysterious curse! Make decisions that alter the very course of Théan history! In 7th Sea, you are a Hero, an icon of Théah ready to live and die for causes that matter. You bravely take on a dozen thugs with swords, knives and guns all on your own. You are the trusted knight, a loyal bodyguard or even an adventuring queen herself. In other words--you are d’Artagnan, Milady de Winter, the Dread Pirate Roberts, Jack Sparrow, Julie d’Aubigney, and the Scarlet Pimpernel all rolled up in one! This is a game of high adventure, mystery and action. This is a game of intrigue and romance. This is 7th Sea.",7.74545,55
The Keep on the Borderlands,"An Introductory Module for Character Levels 1-3 Excerpt from the adventure: Background The Realms of mankind is narrow and constricted. Always the forces of Chaos press upon its borders, seeking to enslave its populace, rape its riches, and steal its treasures. If it were not for a stout few, many in the Realm would indeed fall prey to the evil which surrounds them. Yet, there are always certain exceptional and brave members of humanity, as well as similar individuals among its allies - dwarves, elves, and halflings - who rise above the common level and join battle to stave off the darkness which would otherwise overwhelm the land. Bold adventurers from the Realm set off to the Borderlands to seek their fortune. (...) You are indeed members of that exceptional class, adventurers who have journeyed to the Keep on the Borderlands in search of fame and fortune.",7.6518,277
Pathfinder Roleplaying Game GM Screen,"From the back cover: Guard Your Secrets! Protect your important notes and die rolls from prying player eyes with the Pathfinder Roleplaying Game GM Screen! This beautiful 4-panel screen features stunning artwork from Wayne Reynolds on the player’s side, and a huge number of charts and tables on the GM side to speed up play and reduce time spent leafing through rulebooks in search of an obscure modifier or result. From skill check Difficulty Classes to two-weapon fighting modifiers, the Pathfinder Roleplaying Game GM Screen gives you the tools you need to keep the game fast and fun. Constructed of ultra-high-grade hardcover book stock, this durable screen is perfect for travel, convention play, or repeated regular use.",7.54551,78
Monstrous Compendium Planescape Appendix,"This MONSTROUS COMPENDIUM appendix includes a broad spectrum of monsters from the Inner, Outer, Astral, and Ethereal Planes - all geared to provide hours of adventure in the PLANESCAPE campaign setting. Replacing the original Outer Planes Appendix, this new and enlarged compendium includes full-color illustrations, reintroducing many of the best mulitplanar monsters from a wide variety of out-of-print sources.",7.43878,49
City of Thieves,"Terror stalks the night in Silverton! The prosperous town of Silverton is being held to ransom by Zanbar Bone and his bloodthirsty Moon Dogs. YOU are an adventurer, and the merchants of Silverton turn to you in their hour of need. Your mission takes you along dark, twisting streets, where thieves, vagabonds and creatures of the night lie in wait to trap the unwary traveller. And beyond lies the most fearsome adventure of them all -- the tower stronghold of the infamous Zanbar Bone! Puffin: #5 1983 Wizard: #5 2002 Danish editions: Borgen: #5 1986 Borgen: #5 2003",7.51379,58
Hall of the Fire Giant King,Dungeon Module G3,7.51304,46
Dragonbane Rulebook,"Publisher blurb: Dragonbane is a classic fantasy tabletop roleplaying game full of magic, mystery, and adventure. It is designed from the ground up to facilitate fast and furious play, with very little prep time and adventures that are a breeze to run. This book includes fast and effective D20-based game rules for character creation, skills, combat, magic, and travel, and the introductory adventure The Castle of the Robber Knight. Please note that a softback version of this book, without the introductory adventure, is included in the boxed Dragonbane Core Set.",8.45,20
Low Life,"From the back of the book: ""The Rise of the Lowly Sword & Sorcery Adventure in a shattered world inhabited by the descendants of cockroaches, worms, snack cakes and stranded aliens. Discover the arcane secrets of hocus pokery, dementalism, smellcasting, and holy rolling. Battle hideous beasts, risen from the rubble of ancient civilizations. Enjoy a light lunch at the Primordial Soup Kitchen. Mutha Oith is a world of grand advnenture and deadly peril; a world of conflict and danger. It is a land of epic heroism and great evil, a realm of horror and violence, a bold land where even the lowliest cockroach can become a king by his own sword and the most wretched gob of filth can become a gawd. Are you werm enough to follow your destiny? Do you have the nuggets to take your rightful place among Oith's most valiant heroes? If so, strap on your esophagator hide shield, pick up your poo flinger and your big ass cleaver, mount your pygmy slog, whispher a prayer to Jelvis, kiss your larvae goodbye, and open the gossin' book. The muck-riddled road to epic adventure stands before you...""",8.04,25
Mythic Bastionland,"From publisher blurb: Take the Oath and venture into Mythic Bastionland, a tabletop RPG set in the imagined past of Into the Odd and Electric Bastionland , built on the same lightning fast, ultra-streamlined rules system. Designed by Chris McDowall and illustrated by Alec Sorensen. KNIGHTS IN SEARCH OF GLORY In Mythic Bastionland you begin as a young knight errant, seeking the glory to lead warbands, earn a place in court, and rule your own domain. Glory is found in hunting the Myths of this world, manifesting them into reality while protecting the Realm from their strange influence. Each player is one of 72 Knights, with personal equipment, a unique ability, and a passion that fuels their spirit. As your glory grows, you might eventually embark on the legendary City Quest, an impossible challenge to find The City itself, a shining metropolis seen only in dreams. RULES LIGHT, FLAVOUR HEAVY The streamlined rules support a campaign of exploration, where you traverse your own hex-mapped realm filled with myths, each slowly revealing their omens as you journey through their land. The book comes with 72 of these Myths, enough to know there's always a new surprise hidden in the woods. Hex-crawling, domain management, ageing, exploration, and mass battles are all handled through fast, streamlined mechanics. The rules of Mythic Bastionland are fast-paced and rules-light, encouraging creative problem solving and decisive combat. The game is perfect for groups of 1-5 players, plus a Referee, and is designed for both ongoing campaigns that span seasons and ages, and fast-paced one-shots that focus in on a particular adventure of a company of knights. DECISIVE COMBAT Nobody ever rolls to hit. You go straight to the damage roll. Every turn you decide to stay in the fight matters. Use the new Gambit system to push enemies, splinter shields, drag them down from their steeds, and deftly reposition yourself. As Knights you also use Feats to Smite for extra damage, Focus on the perfect tactical manoeuvre, or Deny the strongest attacks of your foes. This all sits on top of the same lightning-fast combat system familiar from Into the Odd. A PAST THAT NEVER WAS Mythic Bastionland is inspired by British folklore, Arthurian legends, and our own myths of the medieval era. I'm especially interested in the lies we tell about history, whether by misconception or design. Just as this game was written in 21st Century Britain, this world was born from the stories told in Industrial and Electric Bastionland. A past that never was, brought to life, and a place that you can visit if you know the way.",8.66667,21
Keeper Screen,"From the back cover: ALL THE IMPORTANT RULES, CHARTS, AND MAPS AT A GLANCE! The Keeper Screen is an essential play aid for those running games of Call of Cthulhu. This is a 3-panel Keeper Screen mounted on thick hardcover stock, folding out to 34 inches wide. One side, intended to face the players, portrays glorious artwork. The rear of the screen, the Keeper’s side, collects and summarizes important rules, statistics and charts, to assist the Keeper when running games. Inside are two ready-to-play scenarios set in Lovecraft Country during the 1920s: “Blackwater Creek” and “Missed Dues.” Twelve ready-to-play pregenerated investigators, and color maps of Lovecraft Country, the World of Cthulhu, and Arkham Environs. User summary: Bundled pack includes three-panel landscape screen and 100-page letter-size Missed Dues & Blackwater Creek double adventure book. The adventure book differs from the Missed Dues and Other Adventures book which was made available to Call of Cthulhu 7th Edition Kickstarter backers at Gen Con 2013: it omits the ""Moonchild"" scenario from that book, which is included in Nameless Horrors instead. The ""PDF + E"" electronic edition includes the PDF versions of the screen and adventure book along with EPUB, MOBI, and PRC eBook formats for the adventure book.",8.48621,58
Buffy the Vampire Slayer Roleplaying Game,"From the website: The graveyard is cold and still. Bright moonlight deepens the shadows. The silence is disturbed by a throaty moan. Breaking through the soft, recently packed earth, a claw extends, sharp and grasping. A sickly sweet stench rises with the corpse. Desperate hunger is etched on it cadaverous face—a hunger for your blood! Buffy: Alright, I get it. You're evil. Do we have to chat about it all day? -3.10, Amends No we don’t. It’s time to slay. Get ready for action and adventure—Buffy-style. Now you can join the Slayer's world! Inside these lustrous covers, you will find: An introduction to roleplaying and the Buffyverse A roleplaying guide to all seven season of Buffy the Vampire Slayer Detailed character creation, including pre-constructed Heroes and White Hats, for your quick-play pleasure Roleplaying specifics for the entire Original Cast, from Buffy to Dawn, including their wild and wacky changes The Buffy Unisystem, streamlined for cinematic slayage and sneakage A primer on magic mojo, for those who dare A guide to the hotspots of Sunnydale The monsters of mayhem, all stat-ed out and ready-to-slay, and the skinny every season's Big Bad Blow-by-blow instructions for creating Buffy roleplaying Episodes, Seasons, and Series A complete Episode to get slaying fast and easy A guide to Buffyspeak to add sparkle to your dialogue",6.96267,75
The Ghost Tower of Inverness,"Dungeon Module C2 A shadow from the past, the Ghost Tower of Inverness has loomed ever larger in the mind of the great Seer of Urnst. Now he has convinced the Duke that an expedition should be organized to go to the ancient keep and recover its greatest treasure -- the fabled Soul Gem. This module was originally written for the Official ADVANCED DUNGEONS & DRAGONS® Game Tournament at Wintercon VIII, held in Detroit in November of 1979. It is the second in TSR's COMPETITION SERIES -- modules that were used in official tournaments. This module contains a challenging setting, a scoring system and characters specially prepared for the adventure. It may thus be used for competition among players (or groups of players) or as a non-scored adventure included in an ongoing campaign. Also included within are background information, referee's maps and notes, encounter descriptions for players, and a background scenario linked to THE WORLD OF GREYHAWK™ Fantasy World Setting.",6.89032,62
In The Labyrinth,"This 80-page rule book allowed the micro board games Melee and Wizard to be expanded into a full-fledged role-playing game. Released at the same time were the rule books Advanced Melee and Advanced Wizard. The three books together formed the complete Fantasy Trip game system. Book includes: character generation tables, world creation tools, adventuring rules, a flora and fauna section, a number of additional tables, and various copy-ready play aids.",8.02016,62
Mage: The Ascension (2nd Edition),"From the back cover: An Epic Game of Reality on the Brink Magick is not dead. Open your eyes and see with mystick sight. A War rages, A Reckoning is at hand. On one side stand the Others, Who would twist our world with their mad designs; On the other hand, the snare of Pride, And Power's lure, Await an inner Fall. Is our Path too narrow? You decide. Come forth, A journey beckons, Open your eyes And Awaken.",7.40435,115
Pathfinder Chronicles Campaign Setting,"From the back of the book: The Best of All Possible Worlds Discover within this weighty, full-color tome the world of Golarion, home of the Pathfinder Chronicles campaign setting. A time of lost prophecies grips the world, bringing with it an unending maelstrom, a tear in the fabric of reality, a surge of diabolism, and the endless threat of war. Yet all is not lost, for these dark times provide ample opportunity for adventure and untold heroism. Inside this exciting and informative tome you will find: Detailed summaries of dozens of player character races (including entries for all of Golarion’s human ethnic groups) and new options for standard classes like wizards, clerics, and rogues. Concise examinations of nearly 40 crumbling empires, expansionistic kingdoms, and independent city-states centered around the Inner Sea. Glimpses at the rest of the world beyond the continents of Avistan and Garund. Meticulous examinations of the 20 common deities of Golarion, plus numerous additional lesser gods, archdevils, demon lords, and the angelic empyreal lords. Chronicles of some of the most important organizations in the Inner Sea region and across the world. Descriptions of lost empires, an overview of Golarion’s history, a look at time and space, and a survey of the Inner Sea region’s climate and bizarre weather phenomena. A peek into the underground realm known as the Darklands. Locations for Pathfinder Adventure Paths and Pathfinder Modules marked on a map for the first time, a pronunciation guide for some of Golarion’s most challenging words, a rogue’s gallery of useful NPCs, and random encounter tables, and a giant pull-out poster map of the Inner Sea region. More than 40 feats, five new prestige classes, and an assortment of equipment and magic items.",7.64167,30
Fiend Folio,"From front cover: Tome of creatures malevolent and benign From back cover: This tome contains alphabetical listings of monsters designed for use with the Advanced Dungeons & Dragons game system. Each creature is described and most are illustrated for easy identification. For example: BERBALANG FREQUENCY: Very rare NO. APPEARING: 1 SPECIAL DEFENSES: Nil ARMOUR CLASS: 6 MAGIC RESISTANCE: MOVE: 6""/24"" Standard HIT DICE: 1+1 INTELLIGENCE: Very % IN LAIR: See below ALIGNMENT: Chaotic Evil TREASURE TYPE: D SIZE: M NO. OF ATTACKS: 3 PSIONIC ABILITY: Nil DAMAGE/ATTACK: Attack/Defense Modes: Nil 1-4/1-4/1-6 LEVEL/X.P. VALUE: SPECIAL ATTACKS: Nil III/65 + 2 per hit point The berbalang spends the greater part of each month in an apparently dormant state, hibernating preferably in a well-hidden cave. Though seemingly comatose, the berbalang is actually roaming the Astral Plane where it spends its time hunting creatures weaker than itself...Using the new encounter tables contained herein, this work is sure to add new excitement to any AD&D game.",7.46747,269
